B000944,Sherrod Brown
G000200,Ransom Gillet
G000264,Robert Goldsborough
G000404,William Grayson
H000056,Joseph Hall
H000180,Gideon Hard
H000184,Benjamin Hardin
H000221,James Harper
H000276,Samuel Harrison
H000360,Albert Hawes
H000416,Abner Hazeltine
H000486,Joseph Henderson
H000575,William Hiester
H000656,Samuel Hoar
H000861,Elias Howell
H000883,Henry Hubbard
H000994,Abel Huntington
H001000,Adam Huntsman
J000028,William Jackson
J000056,Henry Janes
J000062,Leonard Jarvis
J000170,Richard Johnson
J000212,Benjamin Jones
J000279,Andrew Judson
K000123,William Kennon
K000207,John King
K000224,George Kinnard
K000287,Nehemiah Knight
L000057,Amos Lane
L000086,Gerrit Lansing
L000094,John Laporte
L000150,George Lay
L000164,Luke Lea
L000193,Gideon Lee
L000197,Joshua Lee
L000205,Thomas Lee
L000459,Thomas Love
L000488,George Loyall
L000490,Edward Lucas
M000099,Abijah Mann
M000110,Richard Manning
M000220,John Mason
M000223,Moses Mason
M000227,William Mason
M000320,Johnathan McCarty
M000352,William McComas
M000556,Jeremiah McLene
M000734,Jesse Miller
M000751,Rutger Miller
P000023,Sherman Page
P000061,James Parker
P000074,Gorham Parks
P000132,William Patterson
P000160,Dutee Pearce
P000167,John Pearson
P000270,Ebenezer Pettigrew
P000282,Balie Peyton
P000355,Henry Pinckney
R000177,Joseph Reynolds
R000291,John Roane
R000344,John Robinson
R000502,John Ruggles
S000049,John Sanford
S000116,Ferdinand Schenck
S000130,William Schley
S000272,William Seymour
S000331,William Shepard
S000365,William Shinn
S000403,Nicholas Sickles
S000495,Jonathan Sloane
S000699,David Spangler
S000834,John Steele
S000971,Bellamy Storer
S001083,Joel Sutherland
T000130,James Terrell
T000230,John Thomson
T000422,James Turner
T000435,Joel Turrill
W000071,Garret Wall
W000146,Daniel Wardwell
W000179,George Washington
W000218,James Wayne
W000358,Campbell White
W000376,Hugh White
W000383,Joseph White
W000463,Zalmon Wildman
D000022,Judah Dana
N000085,Robert Nicholas
P000019,John Page
P000069,Richard Parker
S000719,John Spence
S000992,Robert Strange
V000009,Martin Van Buren
A000095,James Alexander
A000123,Heman Allen
A000246,John Andrews
B000311,Cyrus Beers
B000437,Bennet Bicknell
B000483,Samuel Birdsall
B000628,Ratliff Boon
B000662,James Bouldin
B000859,John Brodhead
B000869,Isaac Bronson
B000984,Andrew Bruyn
B001000,Andrew Buchanan
C000043,John Calhoon
C000061,Churchill Cambreleng
C000202,Timothy Carter
C000285,John Chambers
C000300,John Chaney
C000341,Richard Cheatham
C000395,Jonathan Cilley
C000404,John Claiborne
C000481,Clement Clay
C000513,Jesse Cleveland
C000534,William Clowney
C000587,Charles Coffin
C001021,Samuel Cushman
C001023,Alfred Cuthbert
D000056,Edward Darlington
D000193,John De Graff
D000547,George Dunn
E000073,John Edwards
E000277,John Ewing
F000033,James Farrington
F000203,Richard Fletcher
F000396,Jacob Fry
G000028,Albert Gallup
G000149,Samuel Gholson
G000230,Thomas Glascock
G000361,William Graham
G000380,Abraham Grant
G000385,Seaton Grantland
G000397,Hiram Gray
G000451,George Grennell
H000040,Elisha Haley
H000097,Thomas Hamer
H000210,James Harlan
H000220,Francis Harper
H000399,Charles Haynes
H000536,William Herod
H000744,Hopkins Holsey
H000748,Orrin Holt
H000835,Benjamin Howard
H000899,Edward Hubley
H000993,William Hunter
I000021,Samuel Ingham
J000015,Jabez Jackson
K000174,Daniel Kilgore
K000269,John Klingensmith
L000129,Joab Lawler
L000220,Hugh Legaré
L000338,Lewis Linn
L000402,Henry Logan
L000436,Andrew Loomis
L000437,Arphaxed Loomis
L000512,Wilson Lumpkin
L000542,Francis Lyon
M000192,Joshua Martin
M000262,Abram Maury
M000277,William May
M000516,Isaac McKim
M000519,John McKinley
M000638,Richard Menefee
M000767,John Milligan
M000897,Ely Moore
M000960,William Morgan
M000984,Mathias Morris
M001050,Alexander Mouton
M001065,Henry Muhlenberg
M001110,John Murray
N000120,William Noble
N000158,John Norvell
N000165,Joseph Noyes
O000157,George Owens
P000041,John Palmer
P000054,Amasa Parker
P000133,William Patterson
P000140,John Patton
P000297,Lancelot Phelps
P000312,Stephen Phillips
P000472,David, Potts
P000510,Samuel Prentiss
P000511,Seargent Prentiss
P000519,William Preston
R000158,Luther Reily
R000224,John Richardson
R000293,William Roane
R000323,John Robertson
R000334,Edward Robinson
R000507,Edward Rumsey
S000093,Samuel Sawyer
S000316,Daniel Sheffer
S000333,Matthias Shepler
S000360,Ebenezer Shields
S000399,Mark Sibley
S000531,Francis Smith
S000599,Oliver Smith
S000600,Perry Smith
S000664,Adam Snyder
S000690,William Southgate
S000725,James Spencer
S000789,James Standifer
S000965,William Stone
S001032,Archibald Stuart
T000103,William Taylor
T000288,Obadiah Titus
V000002,Henry Vail
V000030,Abraham Vanderveer
W000241,Taylor Webster
W000247,Joseph Weeks
W000431,Elisha Whittlesey
W000433,Thomas Whittlesey
W000742,Thomas Word
Y000050,Richard Young
M000654,William Merrick
T000380,James Trotter
W000539,Thomas Williams
A000135,John Allen
A000137,Judson Allen
A000168,James Alvord
A000190,Hugh Anderson
A000232,Simeon Anderson
B000284,William Beatty
B000319,Andrew Beirne
B000428,Thaddeus Betts
B000443,Richard Biddle
B000613,William Bond
B000732,Henry Brackenridge
B000901,Anson Brown
B001204,Jesse Bynum
C000177,John Carr
C000188,James Carroll
C000204,William Carter
C000318,William Chapman
C000363,Thomas Chinn
C000700,Henry Connor
C000766,William Cooper
C000847,George Crabb
C000859,Robert Craig
C000882,Isaac Crary
C000920,John Crockett
C001009,Edward Curtis
D000068,Thomas Davee
D000088,Edward Davies
D000116,John Davis
D000205,James De La Montanya
D000244,John Dennis
D000309,Philemon Dickerson
D000376,Nathan Dixon
D000398,Nicholas Doe
D000472,Charles Downing
E000012,Nehemiah Earll
E000166,John Ely
F000125,John Fine
F000144,Charles Fisher
F000201,Isaac Fletcher
G000011,John Galbraith
G000067,James Garland
G000070,Rice Garland
G000392,William Graves
G000462,John Griffin
G000479,Moses Grinnell
G000509,Felix Grundy
H000132,Robert Hammond
H000152,Augustus Hand
H000261,Albert Harrison
H000363,Richard Hawes
H000373,Micajah Hawkins
H000482,John Henderson
H000594,John Hill
H000595,John Hill
H000617,Solomon Hillen Solomon
H000687,Josiah Hoffman
H000721,Joel Holleman
H000745,Hines Holt
H000844,Tilghman Howard
J000027,Thomas Jackson
J000078,Daniel Jenifer
J000184,Charles Johnston
J000243,Nathaniel Jones
K000084,Gouverneur Kemble
K000087,Thomas Kempshall
K000178,Joseph Kille
L000130,Abbott Lawrence
L000172,Daniel Leadbetter
L000211,Isaac Leet
L000249,Stephen Leonard
M000081,Meredith Mallory
M000211,Richard Marvin
M000322,William McCarty
M000345,Charles McClure
M000389,George McCulloch
M000642,Charles Mercer
M000806,Charles Mitchell
M000856,James Monroe
M000874,William Montgomery
M000987,Samuel Morris
N000011,Charles Naylor
P000032,Rufus Palen
P000081,Virgil Parris
P000155,Lemuel Paynter
P000179,Luther Peck
P000267,David Petrikin
P000469,William Potter
P000509,John Prentiss
R000030,William Ramsey
R000066,James Rariden
R000121,John Reed
R000265,Eleazar Ripley
R000284,Francis Rives
R000353,Thomas Robinson
R000393,Edward Rogers
R000524,David Russell
R000554,Daniel Ryall
S000028,Green Samuels
S000329,Charles Shepard
S000513,Albert Smith
S000565,John Smith
S000689,Samuel Southard
S000977,William Storrs
S001020,Theron Strong
S001099,Henry Swearingen
T000032,Nathaniel Tallmadge
T000039,Benjamin Tappan
T000092,Jonathan Taylor
T000221,Waddy Thompson
V000028,Aaron Vanderpoel
V000123,Peter Vroom
W000016,David Wagener
W000020,Peter Wagner
W000532,Reuel Williams
W000536,Sherrod Williams
W000748,John Worthington
A000181,Alexander Anderson
G000362,William Graham
P000437,Augustus Porter
H000279,William Harrison
T000450,John Tyler
A000104,Julius Alford
A000120,Elisha Allen
A000247,Landaff Andrews
A000249,Sherlock Andrews
A000269,Nathan Appleton
A000275,William Archer
A000297,Thomas Arnold
A000350,John Aycrigg
B000003,Alfred Babcock
B000115,Linn Banks
B000183,Alexander Barrow
B000214,Richard Barton
B000233,Isaac Bates
B000251,Richard Bayard
B000313,Henry Beeson
B000484,Victory Birdseye
B000498,Henry Black
B000522,Bernard Blair
B000578,William Boardman
B000636,Nathaniel Borden
B000708,Samuel Bowne
B000814,David Brewster
B000830,George Briggs
B000854,John Brockway
B000868,David Bronson
B001189,Sampson Butler
B001195,William Butler
B001197,William Butler
C000032,Greene Caldwell
C000039,Patrick Caldwell
C000046,William Calhoun
C000101,Thomas Campbell
C000209,Robert Caruthers
C000213,George Cary
C000230,Zadok Casey
C000355,Timothy Childs
C000374,Thomas Chittenden
C000375,Rufus Choate
C000443,John Clark
C000471,Staley Clarke
C000499,Thomas Clayton
C000518,Nathan Clifford
C000821,Benjamin Cowen
C000884,James Cravens
C000890,George Crawford
C001016,Caleb Cushing
D000352,Davis Dimock
D000380,William Doan
D000400,Andrew Doig
E000020,Ira Eastman
E000074,John Edwards
E000076,John Edwards
E000088,Joseph Egbert
E000241,George Evans
E000265,Horace Everett
F000090,Charles Ferris
F000219,Charles Floyd
F000276,Joseph Fornance
F000296,A. Foster
F000314,Thomas Foster
F000425,William Fulton
G000033,Roger Gamble
G000097,Seth Gates
G000140,James Gerry
G000278,Patrick Goode
G000376,Francis Granger
G000449,John Greig
G000533,Amos Gustine
H000003,Richard Habersham
H000052,Hiland Hall
H000092,William Halstead
H000257,William Harris
H000328,John Hastings
H000332,William Hastings
H000407,Samuel Hays
H000518,Thomas Henry
H000756,Enos Hook
H000810,Jacob Houck
H000970,Hiram Hunt
I000044,William Irwin
J000002,William Jack
J000049,Francis James
J000180,William Johnson
J000226,Isaac Jones
K000050,George Keim
K000139,John Kerr
L000137,Joseph Lawrence
L000315,Levi Lincoln
L000335,Archibald Linn
L000476,Joshua Lowell
M000080,Francis Mallory
M000123,Albert Marchand
M000150,Alfred Marshall
M000162,Thomas Marshall
M000219,John Mason
M000225,Samson Mason
M000243,Joshua Mathiot
M000258,John Mattocks
M000268,John Maxwell
M000285,John Maynard
M000328,Abraham McClellan
M000333,Robert McClellan
M000501,Thomas McKennan
M000509,John McKeon
M000599,Samuel McRoberts
M000624,William Medill
M000652,James Meriwether
M000735,John Miller
M000804,Anderson Mitchell
M000938,James Morehead
M000945,Christopher Morgan
M000973,Calvary Morris
M001003,Jeremiah Morrow
N000068,Peter Newhard
N000111,Eugenius Nisbet
O000047,Charles Ogle
O000078,William Oliver
O000114,Thomas Osborne
O000162,Bryan Owsley
P000093,Samuel Partridge
P000208,Nathanael Pendleton
P000321,Francis Pickens
P000391,Arnold Plumer
P000431,John Pope
P000479,Cuthbert Powell
P000548,George Proffit
R000028,Robert Ramsey
R000034,Alexander Randall
R000035,Benjamin Randall
R000048,Joseph Randolph
R000162,Abraham Rencher
R000174,John Reynolds
R000247,Joseph Ridgway
R000255,Lewis Riggs
R000285,William Rives
R000396,James Rogers
R000427,James Roosevelt
R000527,James Russell
R000540,William Russell
S000020,Leverett Saltonstall
S000048,John Sanford
S000246,John Sergeant
S000258,Charles Sewall
S000311,Tristram Shaw
S000359,Benjamin Shields
S000427,William Simonton
S000475,William Slade
S000667,John Snyder
S000750,James Sprigg
S000945,Samuel Stokely
S000993,Charles Stratton
S001030,Alexander Stuart
S001074,Thomas Sumter
S001105,George Sweeny
T000027,John Taliaferro
T000272,Joseph Tillinghast
T000296,George Toland
T000301,Thomas Tomlinson
T000378,Philip Triplett
T000381,Samuel Trotti
T000391,Joseph Trumbull
V000015,John Van Buren
V000052,Henry Van Rensselaer
W000067,Robert Walker
W000076,David Wallace
W000125,Aaron Ward
W000167,Lott Warren
W000182,William Washington
W000208,Harvey Watterson
W000306,John Westbrook
W000365,Edward White
W000382,Joseph White
W000509,James Williams
W000524,Joseph Williams
W000527,Lewis Williams
W000543,Thomas Williams
W000709,William Woodbridge
W000711,Levi Woodbury
Y000023,Thomas Yorke
Y000029,Augustus Young
Y000042,John Young
C000851,Samuel Crafts
M000426,George McDuffie
S000746,William Sprague
W000458,Leonard Wilcox
A000150,William Allen
A000302,Archibald Arrington
A000308,John Ashe
B000030,Arthur Bagby
B000071,Osmyn Baker
B000152,Daniel Barnard
B000281,Samuel Beardsley
B000354,James Belser
B000445,Benjamin Bidlack
B000494,Edward Black
B000516,Julius Blackwell
B000651,Pierre Bossier
B000687,Gustavus Bower
B000793,Sidney Breese
B000797,Francis Brengle
B000837,Henry Brinkerhoff
B000899,Aaron Brown
B000925,Jeremiah Brown
B001088,Edmund Burke
B001114,Barker Burnell
C000090,John Campbell
C000169,Levi Carpenter
C000215,Jeremiah Cary
C000217,Shepard Cary
C000251,George Catlin
C000258,John Causin
C000319,Absalom Chappell
C000358,Samuel Chilton
C000520,Duncan Clinch
C000528,James Clinton
C000625,Walter Coles
C000648,Walter Colquitt
C000759,Mark Cooper
C000930,Edward Cross
D000020,Amasa Dana
D000128,Richard Davis
D000171,Ezra Dean
D000221,James Dellet
D000318,David Dickinson
D000528,Alexander Duncan
E000131,Chesselden Ellis
E000156,Lucius Elmer
F000017,Isaac Farlee
F000213,Elias Florence
F000302,Ephraim Foster
F000383,Henry Frick
F000409,George Fuller
G000218,Thomas Gilmer
G000406,Byram Green
G000423,Willis Green
H000120,Edward Hamlin
H000125,William Hammett
H000167,Edward Hannegan
H000185,John Hardin
H000406,Samuel Hays
H000411,William Haywood
H000539,Joshua Herrick
H000895,William Hubbell
H000917,Daniel Huger
H000927,James Hughes
I000033,James Irvin
J000059,Spencer Jarnagin
J000092,Michael Jenks
J000122,Cave Johnson
J000167,Perley Johnson
J000240,John Jones
K000109,John Kennedy
K000236,Littleton Kirkpatrick
L000001,Alcée La Branche
L000029,John Lamar
L000248,Moses Leonard
L000494,William Lucas
L000544,Lucius Lyon
M000237,James Mathews
M000323,William McCauslen
M000713,John Millen
M000899,Heman Moore
N000080,Willoughby Newton
N000108,John Niles
P000076,William Parmenter
P000129,Thomas Patterson
P000462,Elisha Potter
P000507,Zadock Pratt
P000515,Jacob Preston
P000571,Smith Purdy
R000087,Kenneth Rayner
R000090,Almon Read
R000106,John Reding
R000110,Charles Reed
R000351,Orville Robinson
R000379,George Rodney
R000390,Charles Rogers
R000528,Jeremiah Russell
S000024,Samuel Sample
S000078,Romulus Saunders
S000239,James Semple
S000245,William Senter
S000256,Ambrose Sevier
S000271,Thomas Seymour
S000425,Samuel Simons
S000576,John Smith
S000720,Thomas Spence
S000843,Lewis Steenrod
S000874,Lemuel Stetson
S000913,John Stewart
S000925,William Stiles
S000952,Alfred Stone
S001016,Selah Strong
S001066,George Summers
T000404,Tilghman Tucker
T000447,Asher Tyler
V000048,John Vanmeter
W000311,John Wethered
W000357,Benjamin White
W000380,John White
W000475,William Wilkins
W000503,Henry Williams
W000649,Henry Wise
W000770,Silas Wright
D000317,Daniel Dickinson
F000304,Henry Foster
F000336,John Francis
J000137,Henry Johnson
P000409,James Polk
A000198,Joseph Anderson
A000291,Lemuel Arnold
B000343,Joshua Bell
B000394,Charles Benton
B000500,James Black
B000838,Jacob Brinkerhoff
B000852,William Brockenbrough
B000938,Milton Brown
B001041,Joseph Buffington
C000093,John Campbell
C000105,William Campbell
C000186,Charles Carroll
C000273,Joseph Chalmers
C000308,Augustus Chapman
C000316,Reuben Chapman
C000368,John Chipman
C000434,Henry Clark
C000632,John Collin
C000708,Albert Constable
C000803,James Cottrell
C000878,Henry Cranston
C000972,Alvan Cullom
C000978,Erastus Culver
C000990,Francis Cunningham
D000052,Edmund Dargan
D000061,Cornelius Darragh
D000120,John Davis
D000152,John Dawson
D000166,William Dayton
D000223,John De Mott
D000346,Paul Dillingham
D000365,John Dix
D000381,James Dobbin
D000543,Robert Dunlap
E000116,Henry Ellett
E000149,Samuel Ellsworth
E000200,Jacob Erdman
E000276,Edwin Ewing
E000278,John Ewing
F000006,John Fairfield
G000089,William Garvin
G000184,William Giles
G000315,Samuel Gordon
G000355,James Graham
G000424,Albert Greene
G000506,Martin Grover
H000330,Serranus Hastings
H000507,John Henry
H000541,Richard Herrick
H000697,Joseph Hoge
H000812,William Hough
H000876,Edmund Hubard
H000968,Orville Hungerford
H000971,James Hunt
H000997,Jabez Huntington
J000094,Benning Jenness
J000155,Joseph Johnson
J000252,Seaborn Jones
K000102,Andrew Kennedy
L000136,John Lawrence
L000230,Owen Leib
L000270,Abner Lewis
L000414,Edward Long
M000168,Barclay Martin
M000189,John Martin
M000196,Morgan Martin
M000325,Moses McClean
M000356,Felix McConnell
M000380,John McCrate
M000400,William McDaniel
M000425,Joseph McDowell
M000471,John McHenry
M000765,William Miller
M000980,Joseph Morris
M001024,William Moseley
M001046,Mace Moulton
N000077,Thomas Newton
N000112,Archibald Niven
O000152,Robert Owen
P000082,Isaac Parrish
P000154,William Payne
P000216,Isaac Pennybacker
P000240,Augustus Perrill
P000245,Thomas Perry
P000283,Joseph Peyton
P000531,Sterling Price
R000069,George Rathbun
R000160,James Relfe
R000267,Thomas Ripley
R000278,John Ritter
R000315,Robert Roberts
R000509,John Runk
S000104,John Scamman
S000208,Henry Seaman
S000255,Luther Severance
S000440,Leonard Sims
S000512,Albert Smith
S000615,Thomas Smith
S000715,Jesse Speight
S000767,Henry St. John
S000813,David Starkweather
S001018,Stephen Strong
S001046,Daniel Sturgeon
S001131,George Sykes
T000104,William Taylor
T000190,William Thomasson
T000261,John Tibbatts
T000270,Daniel Tilden
T000327,George Towns
T000360,William Tredway
T000388,Andrew Trumbo
T000430,Hopkins Turney
V000017,Joseph Vance
W000238,Daniel Webster
W000308,James Westcott
W000328,Horace Wheaton
W000692,Bradford Wood
W000719,Thomas Woodruff
W000736,William Woodworth
W000769,Samuel Wright
Y000003,William Yancey
Y000017,Archibald Yell
Y000026,Jacob Yost
Y000030,Bryan Young
C000396,Joseph Cilley
A000004,Amos Abbott
A000041,John Adams
A000311,Chester Ashley
A000328,Archibald Atkinson
B000096,Roger Baldwin
B000182,Daniel Barringer
B000185,Washington Barrow
B000302,Henry Bedinger
B000321,Hiram Belcher
B000413,John Berrien
B000480,Ausburn Birdsall
B000501,James Black
B000513,Esbon Blackmar
B000539,John Blanchard
B000655,John Botts
B000734,James Bradbury
B000741,Edward Bradley
B000754,Jasper Brady
B000906,Charles Brown
B001032,Aylette Buckner
C000044,John Calhoun
C000108,Richard Canby
C000314,John Chapman
C000330,Lucien Chase
C000413,Asa Clapp
C000432,Franklin Clark
C000458,Beverly Clarke
C000466,John Clarke
C000573,William Cocke
C000644,William Collins
C000879,Robert Cranston
C000951,John Crozier
C000989,John Cummins
D000054,Mason Darling
D000117,John Davis
D000314,John Dickey
D000415,Richard Donnell
D000476,Solomon Downs
D000504,George Dromgoole
D000529,Daniel Duncan
D000527,William Duncan
E000034,George Eckert
E000059,Joseph Edsall
E000082,Thomas Edwards
E000169,Elisha Embree
F000014,James Faran
F000031,John Farrelly
F000063,Alpheus Felch
F000145,David Fisher
F000216,Thomas Flournoy
F000251,Henry Foote
F000379,Richard French
F000386,George Fries
F000419,Andrew Fulton
G000006,John Gaines
G000106,John Gayle
G000256,William Goggin
G000405,Horace Greeley
G000446,Dudley Gregory
H000028,Artemas Hale
H000062,Nathan Hall
H000136,David Hammons
H000138,James Hampton
H000320,William Haskell
H000499,Thomas Henley
H000592,Hugh Hill
H000723,John Holley
H000736,Elias Holmes
H000790,John Hornbeck
H000889,Samuel Hubbard
H000907,Charles Hudson
H000978,Washington Hunt
I000015,Charles Ingersoll
I000019,Joseph Ingersoll
I000032,Alexander Irvin
J000007,David Jackson
J000054,John Jameson
J000146,James Johnson
J000239,John Jones
K000122,William Kennon
L000021,Samuel Lahm
L000139,Sidney Lawrence
L000142,William Lawrence
L000278,Dixon Lewis
L000307,Thomas Ligon
L000440,Frederick Lord
M000096,Willie Mangum
M000208,Dudley Marvin
M000334,Robert McClelland
M000474,Abraham McIlvaine
M000489,James McKay
M000731,Jacob Miller
M001072,Joseph Mullin
M001093,Henry Murphy
N000103,Henry Nicoll
P000033,John Palfrey
P000206,John Pendleton
P000266,George Petrie
P000353,Timothy Pilsbury
P000416,James Pollock
P000518,William Preston
R000364,William Rockhill
R000367,John Rockwell
R000414,James Roman
S000095,William Sawyer
S000351,Eliakim Sherrill
S000435,Richard Simpson
S000438,Alexander Sims
S000488,John Slingerland
S000519,Caleb Smith
S000760,Presley Spruance
S000766,Daniel St. John
S000814,George Starkweather
S000899,Andrew Stewart
S001008,John Strohm
T000030,Frederick Tallmadge
T000152,Bannon Thibodeaux
T000214,Richard Thompson
T000215,Robert Thompson
T000308,Patrick Tompkins
T000429,Thomas Turner
T000441,John Tweedy
U000011,Joseph Underwood
W000162,Cornelius Warren
W000436,William Wick
W000467,James Wiley
W000504,Hezekiah Williams
B000642,Solon Borland
D000394,Augustus Dodge
F000167,Thomas Fitzgerald
J000139,Herschel Johnson
K000217,William King
M000676,Thomas Metcalfe
M000889,Wyman Moor
W000055,Isaac Walker
A000075,Nathaniel Albertson
A000093,Henry Alexander
A000166,William Alston
A000199,Josiah Anderson
A000245,George Andrews
A000318,George Ashmun
A000322,David Atchison
B000022,George Badger
B000247,William Bay
B000339,John Bell
B000599,David Bokee
B000631,Walter Booth
B000680,Franklin Bowdon
B000701,James Bowlin
B000782,Daniel Breck
B000841,John Brisbin
B000950,William Brown
B001037,Alexander Buel
B001049,Henry Bullard
B001175,Chester Butler
B001191,Thomas Butler
C000031,George Caldwell
C000060,Samuel Calvin
C000224,Joseph Casey
C000459,Charles Clarke
C000482,Henry Clay
C000501,Jeremiah Clemens
C000611,Orsamus Cole
C000676,Harmon Conger
C000703,Charles Conrad
C000753,James Cooper
C000941,John Crowell
D000045,Joel Danner
D000156,William Dawson
D000181,Edmund Deberry
D000313,Jesse Dickey
D000325,Rodolphus Dickinson
D000515,William Duer
E000105,Samuel Eliot
E000255,Nathan Evans
E000275,Andrew Ewing
F000055,Winfield Featherston
F000360,John Freedley
G000138,Elbridge Gerry
G000172,Edward Gilbert
G000285,Rufus Goodenow
G000339,Daniel Gott
G000341,Herman Gould
G000477,Joseph Grinnell
H000005,Thomas Hackett
H000083,Ransom Halloway
H000139,Moses Hampton
H000178,Hugh Haralson
H000214,John Harmanson
H000381,Andrew Hay
H000395,Thomas Haymond
H000520,William Henry
H000622,Henry Hilliard
H000651,Moses Hoagland
H000738,Isaac Holmes
H000825,John Houston
H000880,David Hubbard
I000013,Samuel Inge
J000031,William Jackson
J000147,James Johnson
K000021,David Kaufman
K000137,John Kerr
K000198,Daniel King
K000203,James King
K000205,John King
K000215,Thomas King
L000008,Emile La Sére
L000215,Shepherd Leffler
L000262,Lewis Levin
L000356,Nathaniel Littlefield
M000106,Job Mann
M000147,George Marsh
M000419,James McDowell
M000443,Edward McGaughey
M000529,Thomas McKissock
M000546,Finis McLean
M000612,William McWillie
M000721,Daniel Miller
M000742,John Miller
M000936,Charles Morehead
M000979,Jonathan Morris
M001011,Isaac Morse
M001015,Jackson Morton
M001016,Jeremiah Morton
N000045,William Nelson
N000047,Henry Nes
N000070,Alexander Newman
N000140,Moses Norris
O000046,Andrew Ogle
O000128,John Otis
O000148,Allen Owen
P000068,Richard Parker
P000178,Lucius Peck
P000319,Jonas Phoenix
P000369,Charles Pitman
P000464,Emery Potter
P000580,Harvey Putnam
R000126,Robert Reed
R000172,Gideon Reynolds
R000270,Elijah Risley
R000433,Joseph Root
R000438,Robert Rose
R000506,David Rumsey
S000085,Cullen Sawtelle
S000220,James Seddon
S000338,Augustine Shepperd
S000413,Peter Silvester
S000621,Truman Smith
S000682,Pierre Soulé
S000745,William Sprague
S000873,Charles Stetson
S000905,David Stewart
S001021,William Strong
T000203,Jacob Thompson
T000204,James Thompson
T000223,William Thompson
T000252,John Thurman
T000258,Samuel Thurston
U000009,Walter Underhill
U000025,William Upham
V000035,John Van Dyke
V000107,Samuel Vinton
W000033,Hiram Walden
W000037,Loren Waldo
W000043,John Wales
W000271,Marshall Wellborn
W000349,James Whitcomb
W000375,Hugh White
W000434,William Whittlesey
W000587,James Wilson
W000689,Amos Wood
W000760,George Wright
Y000055,Timothy Young
B000168,Robert Barnwell
E000158,Franklin Elmore
E000281,Thomas Ewing
F000374,John Frémont
P000506,Thomas Pratt
R000184,Robert Rhett
W000646,Robert Winthrop
F000115,Millard Fillmore
A000115,Charles Allen
A000243,Charles Andrews
A000268,John Appleton
A000343,Thomas Averett
B000005,Leander Babcock
B000174,Nelson Barrere
B000209,Thomas Bartlett
B000266,James Beale
B000335,Hiram Bell
B000435,Thomas Bibighaus
B000694,Richard Bowie
B000707,Obadiah Bowne
B000718,John Boyd
B000758,John Bragg
B000861,Richard Brodhead
B000920,George Brown
B001038,Alexander Buell
B001143,Lorenzo Burrows
B001145,Armistead Burt
B001162,George Busby
C000003,Edward Cabell
C000008,Joseph Cable
C000037,Joseph Caldwell
C000102,Thompson Campbell
C000206,David Cartter
C000233,Lewis Cass
C000310,Charles Chapman
C000445,Lincoln Clark
C000511,Chauncey Cleveland
C000603,William Colcock
C000677,James Conger
C000800,Joseph Cottman
D000034,John Daniel
D000049,John Darby
D000101,George Davis
D000350,Milo Dimmick
D000385,Alfred Dockery
D000396,Henry Dodge
D000443,James Doty
D000532,James Duncan
E000231,Alexander Evans
F000050,Francis Fay
F000101,Orlando Ficklin
F000140,Hamilton Fish
F000223,John Floyd
F000325,Orin Fowler
F000363,John Freeman
G000108,James Gaylord
G000125,Meredith Gentry
G000146,Henry Geyer
G000220,Alfred Gilmore
G000284,Robert Goodenow
G000330,Willis Gorman
H000077,Willard Hall
H000126,Edward Hammond
H000219,Alexander Harper
H000286,Emanuel Hart
H000315,Augustus Hascall
H000380,John Haws
H000435,William Hebard
H000714,Alexander Holladay
H000796,Jerediah Horsford
H000845,Volney Howard
H000853,John Howe
H000855,Thomas Howe
H000992,William Hunter
I000051,Willard Ives
J000023,Joseph Jackson
J000046,Charles James
J000089,Timothy Jenkins
J000144,James Johnson
J000153,John Johnson
J000229,James Jones
K000201,George King
K000337,Joseph Kuhns
L000055,Joseph Landry
L000350,Edward Little
M000102,Horace Mann
M000151,Edward Marshall
M000180,Frederick Martin
M000362,Joseph McCorkle
M000534,James McLanahan
M000618,Richard Meade
M000790,Ahiman Miner
M000846,Richard Molony
M000900,Henry Moore
M000903,John Moore
M000937,James Morehead
M000997,John Morrison
M001086,Charles Murphey
N000001,Benjamin Nabers
N000076,Eben Newton
O000138,David Outlaw
P000055,Andrew Parker
P000173,Charles Peaslee
P000210,Alexander Penn
P000212,Ebenezer Penniman
P000235,Jared Perkins
P000412,William Polk
P000529,Rodman Price
R000063,Robert Rantoul
R000117,Isaac Reed
R000331,Reuben Robie
R000343,John Robinson
R000455,Thomas Ross
R000518,Thomas Rusk
R000532,Joseph Russell
S000004,Lorenzo Sabine
S000007,William Sackett
S000122,Abraham Schermerhorn
S000139,John Schoolcraft
S000141,Marius Schoonmaker
S000207,Richardson Scurry
S000265,David Seymour
S000396,Henry Sibley
S000503,Ephraim Smart
S000661,William Snow
S000799,Edward Stanly
S000853,Abraham Stephens
S000942,Robert Stockton
S000958,James Stone
S001025,James Strother
S001084,Josiah Sutherland
S001111,Charles Sweetser
T000192,Benjamin Thompson
T000201,George Thompson
T000338,Norton Townshend
T000394,Amos Tuck
V000084,Abraham Venable
W000030,Henry Walbridge
W000075,Daniel Wallace
W000105,Thomas Walsh
W000145,William Ward
W000255,Richard Weightman
W000263,John Welch
W000284,John Wells
W000350,Addison White
W000457,John Wilcox
W000464,Isaac Wildrick
W000493,Christopher Williams
W000732,Joseph Woodward
A000048,Stephen Adams
B000872,Walker Brooke
C000250,Charles Cathcart
C000324,Robert Charlton
D000270,William De Saussure
D000367,Archibald Dixon
